source,author,title,url,publishedAt
BBC News,,Fifteen dead after ferry with 300 passengers sinks in Philippines,https://www.bbc.com/news/articles/cwy1vpqpy23o,2026-01-26T04:06:14Z
Yahoo Entertainment,Veronica Booth,New study uncovers disturbing new trend in young people's behavior: 'A slap to our legacy',https://www.yahoo.com/news/articles/study-uncovers-disturbing-trend-young-040000491.html,2026-01-15T04:00:00Z
BBC News,,"Alleged Bondi gunmen acted alone and did not train in the Philippines, police say",https://www.bbc.com/news/articles/ce8q8l08j2vo,2025-12-30T02:17:56Z
Al Jazeera English,Ted Regencia,"Ferry carrying over 350 people sinks in Philippines, killing at least seven",https://www.aljazeera.com/news/2026/1/26/ferry-carrying-over-350-people-sinks-in-philippines-killing-at-least-seven,2026-01-26T01:48:41Z
Die Zeit,DIE ZEIT: Zeitgeschehen - Annika Benzing,Philippinen: Fähre mit mehr als 330 Menschen auf den Philippinen gesunken,https://www.zeit.de/gesellschaft/zeitgeschehen/2026-01/philippinen-schiffsunglueck-faehre-gxe,2026-01-26T09:10:18Z
Die Zeit,DIE ZEIT: News -,Schiffsunglück: Fähre sinkt vor Philippinen – Dutzende Menschen vermisst,https://www.zeit.de/news/2026-01/26/faehre-sinkt-vor-philippinen-dutzende-menschen-vermisst,2026-01-26T03:35:14Z
tagesschau.de,,Tote und Vermisste nach Schiffsunglück vor den Philippinen,https://www.tagesschau.de/ausland/asien/philippinen-faehrungluenck-100.html,2026-01-26T11:10:47Z
Ilfattoquotidiano.it,Redazione FqMagazine,"Operai salvano un animale in difficoltà in mare e fanno una scoperta incredibile: è un bucero delle Sulu, uno degli esemplari più rari e a maggior rischio estinzione del mondo",https://www.ilfattoquotidiano.it/2026/01/15/operai-salvano-un-animale-in-difficolta-in-mare-e-fanno-una-scoperta-incredibile-e-un-bucero-delle-sulu-uno-degli-esemplari-piu-rari-e-a-maggior-rischio-estinzione-del-mondo/8256858/,2026-01-15T09:18:40Z
Internazionale.it,Internazionale,"Seven killed, scores missing as passenger ferry capsizes off southern Philippines",https://www.internazionale.it/ultime-notizie-reuters/2026/01/26/seven-killed-scores-missing-as-passenger-ferry-capsizes-off-southern-philippines,2026-01-25T23:26:42Z
RT,RT,Ferry with 342 passengers sinks in the Philippines (VIDEO),https://www.rt.com/news/631500-ferry-capsizes-philippines-350/,2026-01-26T01:31:19Z
Haberturk.com,Anadolu Ajansı,Filipinler'in Mindanao bölgesinde 359 kişiyi taşıyan feribot battı,https://www.haberturk.com/filipinler-in-mindanao-bolgesinde-359-kisiyi-tasiyan-feribot-batti-3856354,2026-01-26T01:50:20Z
STERN.de,STERN.de,Schiffsunglück: Fähre sinkt vor Philippinen – 15 Tote und 28 Vermisste,https://www.stern.de/panorama/schiffsunglueck--faehre-sinkt-vor-philippinen---15-tote-und-28-vermisste-37075306.html,2026-01-26T06:17:37Z
STERN.de,STERN.de,Küstenwache: Mindestens 15 Tote bei Schiffbruch im Süden der Philippinen,https://www.stern.de/news/kuestenwache--mindestens-15-tote-bei-schiffbruch-im-sueden-der-philippinen-37075210.html,2026-01-26T02:43:21Z
ABC News (AU),,Bodies recovered after ferry sinks in the Philippines,https://www.abc.net.au/news/2026-01-26/rescue-efforts-after-ferry-sinks-in-southern-philippines/106269480,2026-01-26T02:33:04Z
Globalsecurity.org,John Pike,"PH Navy conducts maritime patrol, logistics run in Palawan, Mindanao",https://www.globalsecurity.org/military/library/news/2025/12/mil-251231-pna03.htm,2026-01-01T10:13:48Z
Globalsecurity.org,John Pike,PH Navy deploys offshore vessel for E. Mindanao patrol,https://www.globalsecurity.org/military/library/news/2025/12/mil-251231-pna02.htm,2026-01-01T10:13:48Z
Globalsecurity.org,John Pike,Navy's BRP Alberto Navarette secures northeastern Mindanao coast,https://www.globalsecurity.org/military/library/news/2026/01/mil-260105-pna05.htm,2026-01-06T10:15:05Z
Globalsecurity.org,John Pike,PNP steps up coordination with AFP in Mindanao to deter terrorism,https://www.globalsecurity.org/military/library/news/2026/01/mil-260125-pna01.htm,2026-01-26T08:55:16Z
Orf.at,ORF.at,Zahlreiche Tote bei Fährunglück im Süden der Philippinen,https://orf.at/stories/3418226/,2026-01-26T03:03:43Z
Globalsecurity.org,John Pike,"PH, Japan ink defense logistics deal, 2 others",https://www.globalsecurity.org/military/library/news/2026/01/mil-260115-pna01.htm,2026-01-16T12:02:52Z
