source,author,title,url,publishedAt
The Verge,Dominic Preston,"Hang on, there’s a Trump Phone Ultra coming too?",https://www.theverge.com/news/866601/trump-mobile-t1-ultra-phone-don-hendrickson-interview,2026-01-23T17:27:22Z
The Verge,Dominic Preston,The Trump phone just missed another release date,https://www.theverge.com/news/851151/trump-phone-missed-another-release-date,2026-01-02T08:56:49Z
The Verge,Hayden Field,OpenAI’s president is a Trump mega-donor,https://www.theverge.com/ai-artificial-intelligence/867947/openai-president-greg-brockman-trump-super-pac,2026-01-26T19:57:08Z
The Verge,Dominic Preston,Democrats push FTC to investigate Trump Mobile,https://www.theverge.com/news/862821/democrats-elizabeth-warren-aoc-ftc-trump-mobile-investigation-letter,2026-01-15T18:23:56Z
The Verge,Dominic Preston,I can’t find the Trump phone at America’s largest tech show,https://www.theverge.com/tech/859023/i-cant-find-the-trump-phone-at-americans-largest-tech-show,2026-01-09T18:08:12Z
Wired,Fernanda González,What Happens Next in Venezuela—and the Rest of Latin America?,https://www.wired.com/story/what-happens-next-in-venezuela-and-the-rest-of-latin-america/,2026-01-03T22:10:35Z
Gizmodo.com,Bruce Gil,"Meta Buys AI Agent Startup for $2 Billion, Says It Will Cut All Ties With China",https://gizmodo.com/meta-buys-ai-agent-startup-for-2-billion-says-it-will-cut-all-ties-with-china-2000704284,2025-12-30T16:50:42Z
Gizmodo.com,Kyle Torpey,"Illicit Crypto Flows Climbed to $154 Billion in 2025 as Nation States Evade Sanctions, Report Finds",https://gizmodo.com/illicit-crypto-flows-climbed-to-154-billion-in-2025-as-nation-states-evade-sanctions-report-finds-2000708055,2026-01-09T15:30:37Z
BBC News,,How could Donald Trump 'take' Greenland?,https://www.bbc.com/news/articles/c0q4w1xnv35o,2026-01-07T17:33:42Z
BBC News,,What message do Greenlanders have for Trump?,https://www.bbc.com/news/videos/cr57v8y9r77o,2026-01-13T22:09:42Z
Gizmodo.com,Ellyn Lapointe,The US Will Stand Alone Outside the World’s Climate Treaty,https://gizmodo.com/the-us-will-stand-alone-outside-the-worlds-climate-treaty-2000707741,2026-01-08T20:10:02Z
The Verge,Justine Calma,Trump and Mid-Atlantic governors want tech companies to pay for new power plants,https://www.theverge.com/news/863620/data-centers-ai-power-auction-trump,2026-01-16T20:51:18Z
The Verge,Justine Calma,Trump is steamrolling global calls for a moratorium on deep-sea mining,https://www.theverge.com/news/864916/deep-sea-mining-trump-fast-track-permits-battery-minerals,2026-01-21T17:04:45Z
Gizmodo.com,Bruce Gil,Trump Administration Takes Stake in Major Critical Mineral Firm,https://gizmodo.com/trump-administration-takes-stake-in-major-critical-mineral-firm-2000709109,2026-01-12T19:05:16Z
BBC News,,Trump warns Iranian authorities against killing protesters,https://www.bbc.com/news/articles/c0q4z33pnnyo,2026-01-02T11:27:29Z
BBC News,,Bowen: Trump's action could set precedent for authoritarian powers across globe,https://www.bbc.com/news/articles/c5y45nyz124o,2026-01-04T15:14:35Z
BBC News,,Americanswers...On 5 Live! What do Americans really think of Donald Trump?,https://www.bbc.co.uk/sounds/play/p0mtmkqg,2026-01-12T19:56:00Z
BBC News,,What actually is Trump's 'Board of Peace'?,https://www.bbc.co.uk/sounds/play/p0mwlx55,2026-01-22T19:34:00Z
